Time	Angle	Force	Position
0.01	0.2	9160.05	0.898267, -0.43945
0.02	1.11581	87.0808	0.892591, 0.450867
0.03	2.03853	84.9839	0.172766, 0.984963
0.04	2.96796	82.8902	-0.691076, 0.722782
0.05	3.90457	80.7284	-0.990684, -0.136182
0.06	4.849	78.4839	-0.463453, -0.886122
0.07	5.8013	76.2128	0.459593, -0.88813
0.08	6.76072	73.9979	0.991839, -0.127497
0.09	7.72614	71.8794	0.66536, 0.746523
0.1	8.6968	69.8196	-0.245513, 0.969393
0.11	9.67283	67.7332	-0.942526, 0.334133
0.12	10.6549	65.562	-0.797368, -0.603494
0.13	11.6434	63.3269	0.0717036, -0.997426
0.14	12.6381	61.1118	0.877918, -0.47881
0.15	13.6379	58.9895	0.87543, 0.483345
0.16	14.6416	56.9549	0.058686, 0.998276
0.17	15.6492	54.928	-0.815338, 0.578985
0.18	16.6613	52.8279	-0.921209, -0.389067
0.19	17.6784	50.6483	-0.148573, -0.988901
0.2	18.7004	48.4657	0.768759, -0.639539
0.21	19.7265	46.368	0.944416, 0.328752
0.22	20.7553	44.3707	0.20303, 0.979172
0.23	21.7867	42.4008	-0.737878, 0.674934
0.24	22.8211	40.367	-0.956154, -0.292866
0.25	23.8592	38.2489	-0.229683, -0.973266
0.26	24.901	36.1184	0.72626, -0.68742
0.27	25.9456	34.0699	0.958718, 0.284358
0.28	26.9919	32.1274	0.232809, 0.972522
0.29	28.0394	30.2195	-0.727229, 0.686395
0.3	29.0886	28.2509	-0.956741, -0.29094
0.31	30.1403	26.1979	-0.219549, -0.975601
0.32	31.1946	24.1329	0.740932, -0.67158
0.33	32.2504	22.1526	0.949266, 0.314475
0.34	33.3066	20.2803	0.193383, 0.981123
0.35	34.3629	18.4417	-0.759324, 0.650713
0.36	35.4198	16.541	-0.939475, -0.342617
0.37	36.478	14.558	-0.160851, -0.986979
0.38	37.5376	12.5694	0.782297, -0.622906
0.39	38.5975	10.6712	0.926164, 0.377121
0.4	39.6566	8.88055	0.125718, 0.992066
0.41	40.7147	7.11873	-0.802538, 0.5966
0.42	41.7722	5.29163	-0.913663, -0.406472
0.43	42.8301	3.38597	-0.0940441, -0.995568
0.44	43.8881	1.48287	0.820922, -0.571041
0.45	44.9453	-0.32451	0.901515, 0.432748
0.46	46.0006	-2.02572	0.0700294, 0.997545
0.47	47.0538	-3.70319	-0.831383, 0.5557
0.48	48.1055	-5.44787	-0.8953, -0.445464
0.49	49.1564	-7.26727	-0.0590729, -0.998254
0.5	50.2064	-9.07827	0.835471, -0.549534
0.51	51.2545	-10.7907	0.894563, 0.446942
0.52	52.2996	-12.398	0.0654165, 0.997858
0.53	53.3416	-13.9825	-0.827152, 0.561978
0.54	54.3811	-15.6329	-0.90436, -0.42677
0.55	55.4188	-17.3562	-0.0939341, -0.995578
0.56	56.4546	-19.0714	0.806898, -0.590691
0.57	57.4875	-20.6896	0.922168, 0.38679
0.58	58.5166	-22.2011	0.148192, 0.988959
0.59	59.5415	-23.6833	-0.766023, 0.642813
0.6	60.5629	-25.225	-0.949106, -0.314958
0.61	61.5815	-26.8408	-0.232433, -0.972612
0.62	62.5973	-28.4581	0.701566, -0.712605
0.63	63.6094	-29.9871	0.977132, 0.212633
